time_sec,acceleration
0.0,0.0001894224446468334
0.01,-0.0013853106857007799
0.02,0.0027278610125474672
0.03,0.010540079422850134
0.04,0.006989264872531453
0.05,0.008885265757329041
0.06,0.01441419268639875
0.07,0.008109977345437797
0.08,0.018941714983738995
0.09,0.02167601242407385
0.1,0.016380615584197837
0.11,0.02151456122306848
0.12,0.018691348976140422
0.13,0.020932111510371703
0.14,0.017110593718301655
0.15,0.022042935312780558
0.16,0.018387024387391825
0.17,0.02338854461247325
0.18,0.020285824882422317
0.19,0.016966788701052893
0.2,0.02028082479666504
0.21,0.012439367470674043
0.22,0.010205537983646061
0.23,0.009375543129271888
0.24,0.008408455333533696
0.25,0.0064614032286242325
0.26,0.0023215566944385455
0.27,0.0023500860443860664
0.28,-0.002456867556543878
0.29,-0.001180467059668768
0.3,-0.002798885840993814
0.31,-0.00256348745382231
0.32,-0.008295830078014533
0.33,-0.0111835417031933
0.34,-0.014147148221469268
0.35000000000000003,-0.018214911121148893
0.36,-0.0156164429432277
0.37,-0.016158599008523976
0.38,-0.018874770108571522
0.39,-0.012074251254275414
0.4,-0.020433190138147806
0.41000000000000003,-0.01494958634345104
0.42,-0.022819360595328252
0.43,-0.021097663001018525
0.44,-0.018768165249358353
0.45,-0.020405974947907093
0.46,-0.017170358379841436
0.47000000000000003,-0.016162218678396303
0.48,-0.014575808478165435
0.49,-0.01520057705420609
0.5,-0.015692564193197207
0.51,-0.009400901531371823
0.52,-0.009942653245603839
0.53,-0.00704090036181789
0.54,0.0004221016057233255
0.55,-0.0066353991812960825
0.56,0.00632711386655147
0.5700000000000001,0.003090911886517647
0.58,0.0005666587936020784
0.59,0.007418772673565192
0.6,0.006460260468177222
0.61,0.0171198412914114
0.62,0.01361322547236404
0.63,0.017712865307070016
0.64,0.020454225594612435
0.65,0.014670458330390247
0.66,0.012974820831305278
0.67,0.01821364871351173
0.68,0.02565002247585338
0.6900000000000001,0.020468903106588523
0.7000000000000001,0.014116733189425433
0.71,0.02054817476204231
0.72,0.018860762821779245
0.73,0.014535904999464113
0.74,0.015749317954995585
0.75,0.013780484692085846
0.76,0.01075577749327971
0.77,0.015576102533573107
0.78,0.011087813799197495
0.79,0.010842785591486869
0.8,0.007127780523292855
0.81,0.006160374781857059
0.8200000000000001,0.006983776078396918
0.8300000000000001,0.00301665184453772
0.84,0.003733162406884563
0.85,-0.00031704840596744966
0.86,-0.004873643014775586
0.87,-0.004555927405964054
0.88,-0.009914727738590487
0.89,-0.012395083331940159
0.9,-0.019355982520019972
0.91,-0.012692596736580809
0.92,-0.01416765116716091
0.93,-0.022400437914390788
0.9400000000000001,-0.02053608554222314
0.9500000000000001,-0.021442931121840227
0.96,-0.021462988299305975
0.97,-0.02547152096146292
0.98,-0.02306650517901732
0.99,-0.023060254952743376
1.0,-0.017593775971954113
1.01,-0.017809662563478885
1.02,-0.017111876594540797
1.03,-0.012994619956257298
1.04,-0.017476488514497963
1.05,-0.019413165325072965
1.06,-0.006811310264169085
1.07,-0.00980167295226752
1.08,-0.0022622080258855376
1.09,-0.0013131851969621126
1.1,-0.006259170676355482
1.11,0.0015638312514777246
1.12,0.005518133355875724
1.1300000000000001,0.009722283240272425
1.1400000000000001,0.005248324528023981
1.1500000000000001,0.006716281740186329
1.16,0.007586539505250994
1.17,0.01010242575591649
1.18,0.014029353109433472
1.19,0.015737342757411402
1.2,0.017484016767943582
1.21,0.021195858027224353
1.22,0.01770344647670615
1.23,0.022943677419683783
1.24,0.015852136482890248
